"method","mse","loading_error","false_positive_rate","false_negative_rate","mean_factor_score_cor","used_alpha","rotation_method","n","p","m","alpha","gamma","sigma_sq","rep","lambda","error_message"
"EFA (quartimin)",0.110610992134987,0.945058785348266,0.08875,0,0.382699426580415,NA,"quartimin",500,200,5,0.5,0,0.1,1,NA,NA
"EFA (quartimax)",0.110610992134987,0.970482889921485,0.1075,0,0.382596419763545,NA,"quartimax",500,200,5,0.5,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,5,0.5,0,0.1,1,0.1,NA
"PCA",0.770179820085143,4.54750642697672,0.563636363636364,0.2,0.346375394984116,NA,NA,100,50,3,0.8,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0844429764583562,4.54742389883434,0.690909090909091,0,0.369575030353908,1e-17,NA,100,50,3,0.8,0,0.1,1,NA,NA
"EFA (varimax)",0.10304095612542,0.745071226936235,0.545454545454545,0,0.289495740652931,NA,"varimax",100,50,3,0.8,0,0.1,1,NA,NA
"EFA (oblimin)",0.10304095612542,0.737419209661297,0.527272727272727,0,0.398788884907264,NA,"oblimin",100,50,3,0.8,0,0.1,1,NA,NA
"EFA (quartimin)",0.10304095612542,0.737419209661297,0.527272727272727,0,0.398788884907264,NA,"quartimin",100,50,3,0.8,0,0.1,1,NA,NA
"EFA (quartimax)",0.10304095612542,0.745071226936235,0.509090909090909,0,0.402488263387507,NA,"quartimax",100,50,3,0.8,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,3,0.8,0,0.1,1,0.1,NA
"PCA",1.06288248315663,4.68112292796088,0.609090909090909,0.2,-0.323044473201667,NA,NA,500,50,3,0.8,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0916517166089413,4.68103712989532,0.645454545454546,0,-0.3045636519264,1e-17,NA,500,50,3,0.8,0,0.1,1,NA,NA
"EFA (varimax)",0.109986406239268,0.431145222663561,0.318181818181818,0,0.318613347016554,NA,"varimax",500,50,3,0.8,0,0.1,1,NA,NA
"EFA (oblimin)",0.109986406239268,0.4312220670882,0.3,0,0.322804735792419,NA,"oblimin",500,50,3,0.8,0,0.1,1,NA,NA
"EFA (quartimin)",0.109986406239268,0.4312220670882,0.3,0,0.322804735792419,NA,"quartimin",500,50,3,0.8,0,0.1,1,NA,NA
"EFA (quartimax)",0.109986406239268,0.431145222663563,0.309090909090909,0,0.321498918690067,NA,"quartimax",500,50,3,0.8,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,3,0.8,0,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.8,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
