"method","mse","loading_error","false_positive_rate","false_negative_rate","mean_factor_score_cor","used_alpha","rotation_method","n","p","m","alpha","gamma","sigma_sq","rep","lambda","error_message"
"PCA",0.25415986975722,11.6247019904353,0.30625,0.616176470588235,0.0344239366529722,NA,NA,500,200,5,0.2,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0954016236153609,11.6242858496675,0.471875,0.477941176470588,-0.161712916185421,1e-17,NA,500,200,5,0.2,2,0.1,1,NA,NA
"EFA (varimax)",0.20897767425191,2.72592615906368,0.45625,0.208823529411765,0.591707998424878,NA,"varimax",500,200,5,0.2,2,0.1,1,NA,NA
"EFA (oblimin)",0.20897767425191,3.12450478318565,0.3125,0.110294117647059,0.542211445385304,NA,"oblimin",500,200,5,0.2,2,0.1,1,NA,NA
"EFA (quartimin)",0.20897767425191,3.12450478318565,0.3125,0.110294117647059,0.542211445385304,NA,"quartimin",500,200,5,0.2,2,0.1,1,NA,NA
"EFA (quartimax)",0.20897767425191,2.72592615906367,0.465625,0.197058823529412,0.593436275366792,NA,"quartimax",500,200,5,0.2,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,5,0.2,2,0.1,1,0.1,NA
"PCA",0.645534684248833,5.14359985126616,0.48,0.08,0.0516908196837276,NA,NA,100,50,3,0.5,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0869975263543864,5.14328121100952,0.39,0,0.000776234807081151,1e-17,NA,100,50,3,0.5,2,0.1,1,NA,NA
"EFA (varimax)",0.167474968949775,0.373729745037537,0.62,0,0.675820545940468,NA,"varimax",100,50,3,0.5,2,0.1,1,NA,NA
"EFA (oblimin)",0.167474968949775,0.405025110400349,0.44,0,0.67801751368018,NA,"oblimin",100,50,3,0.5,2,0.1,1,NA,NA
"EFA (quartimin)",0.167474968949775,0.405025110400349,0.44,0,0.67801751368018,NA,"quartimin",100,50,3,0.5,2,0.1,1,NA,NA
"EFA (quartimax)",0.167474968949775,0.373729745037533,0.5,0,0.676059250933234,NA,"quartimax",100,50,3,0.5,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,3,0.5,2,0.1,1,0.1,NA
"PCA",0.206681486744182,5.03535411399099,0.47,0.04,-0.698936953143506,NA,NA,500,50,3,0.5,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0911503379926178,5.03503873593965,0.36,0,-0.68311861456578,1e-17,NA,500,50,3,0.5,2,0.1,1,NA,NA
"EFA (varimax)",0.167703306852278,0.165809979275132,0.23,0,0.683607534226318,NA,"varimax",500,50,3,0.5,2,0.1,1,NA,NA
"EFA (oblimin)",0.167703306852279,0.165803109523321,0.25,0,0.684597712460147,NA,"oblimin",500,50,3,0.5,2,0.1,1,NA,NA
"EFA (quartimin)",0.167703306852279,0.165803109523321,0.25,0,0.684597712460147,NA,"quartimin",500,50,3,0.5,2,0.1,1,NA,NA
"EFA (quartimax)",0.167703306852279,0.165809979275139,0.25,0,0.683770954978115,NA,"quartimax",500,50,3,0.5,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,3,0.5,2,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,3,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,3,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,3,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.5,2,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.558321530303659,10.1255155291529,0.355,0.09,0.0042438114532479,NA,NA,500,100,3,0.5,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0948430950236676,10.1248718544299,0.305,0,0.00619399043407071,1e-17,NA,500,100,3,0.5,2,0.1,1,NA,NA
"EFA (varimax)",0.178232645713922,0.303419118969238,0.195,0,0.65539090835132,NA,"varimax",500,100,3,0.5,2,0.1,1,NA,NA
"EFA (oblimin)",0.178232645713922,0.300880557058854,0.165,0,0.655227233241114,NA,"oblimin",500,100,3,0.5,2,0.1,1,NA,NA
"EFA (quartimin)",0.178232645713922,0.300880557058854,0.165,0,0.655227233241114,NA,"quartimin",500,100,3,0.5,2,0.1,1,NA,NA
"EFA (quartimax)",0.178232645713922,0.303419118969231,0.165,0,0.672687390020993,NA,"quartimax",500,100,3,0.5,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,3,0.5,2,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,3,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,3,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,3,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.5,2,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.439378750535467,20.2447613319678,0.2525,0.095,0.00437923464034528,NA,NA,500,200,3,0.5,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.098226048256452,20.2435003086343,0.235,0,0.0020375314739408,1e-17,NA,500,200,3,0.5,2,0.1,1,NA,NA
"EFA (varimax)",0.176482604492842,0.553660792657652,0.1775,0,0.6589431844796,NA,"varimax",500,200,3,0.5,2,0.1,1,NA,NA
"EFA (oblimin)",0.176482604492842,0.560937022176503,0.1475,0,0.67135102877781,NA,"oblimin",500,200,3,0.5,2,0.1,1,NA,NA
"EFA (quartimin)",0.176482604492842,0.560937022176503,0.1475,0,0.67135102877781,NA,"quartimin",500,200,3,0.5,2,0.1,1,NA,NA
"EFA (quartimax)",0.176482604492842,0.553660792657652,0.1675,0,0.671650297166438,NA,"quartimax",500,200,3,0.5,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,3,0.5,2,0.1,1,0.1,NA
"PCA",0.840423814783907,7.57839873271074,0.68,0.1,-0.390447313155426,NA,NA,100,50,5,0.5,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0798830717776644,7.57817529344429,0.55,0,-0.40468308151254,1e-17,NA,100,50,5,0.5,2,0.1,1,NA,NA
"EFA (varimax)",0.157471968809811,0.773199232809571,0.41,0,0.418799033420449,NA,"varimax",100,50,5,0.5,2,0.1,1,NA,NA
"EFA (oblimin)",0.157471968809811,1.0076061390787,0.415,0,0.429939847047991,NA,"oblimin",100,50,5,0.5,2,0.1,1,NA,NA
"EFA (quartimin)",0.157471968809811,1.0076061390787,0.415,0,0.429939847047991,NA,"quartimin",100,50,5,0.5,2,0.1,1,NA,NA
"EFA (quartimax)",0.157471968809812,0.773199232809578,0.415,0,0.420895331764228,NA,"quartimax",100,50,5,0.5,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,5,0.5,2,0.1,1,0.1,NA
"PCA",0.659473241416684,7.45414152257062,0.635,0.18,0.407647353751371,NA,NA,500,50,5,0.5,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0861349740299671,7.45391943042914,0.61,0,0.404894876786567,1e-17,NA,500,50,5,0.5,2,0.1,1,NA,NA
"EFA (varimax)",0.162478482742013,0.385059814408915,0.265,0,0.385899935931573,NA,"varimax",500,50,5,0.5,2,0.1,1,NA,NA
"EFA (oblimin)",0.162478482742014,0.372231921786284,0.28,0,0.394766653181017,NA,"oblimin",500,50,5,0.5,2,0.1,1,NA,NA
"EFA (quartimin)",0.162478482742014,0.372231921786284,0.28,0,0.394766653181017,NA,"quartimin",500,50,5,0.5,2,0.1,1,NA,NA
"EFA (quartimax)",0.162478482742014,0.385059814408926,0.29,0,0.39544032681332,NA,"quartimax",500,50,5,0.5,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,5,0.5,2,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,5,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,5,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,5,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.5,2,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",1.03272824032732,14.9280267529517,0.535,0.31,0.0190655709840603,NA,NA,500,100,5,0.5,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0910136294615108,14.92758003642,0.505,0,-0.0301563286005477,1e-17,NA,500,100,5,0.5,2,0.1,1,NA,NA
"EFA (varimax)",0.172076569680598,0.588849418334284,0.24,0,0.387451111114344,NA,"varimax",500,100,5,0.5,2,0.1,1,NA,NA
"EFA (oblimin)",0.172076569680598,0.580646303226921,0.235,0,0.431849251674667,NA,"oblimin",500,100,5,0.5,2,0.1,1,NA,NA
"EFA (quartimin)",0.172076569680598,0.580646303226921,0.235,0,0.431849251674667,NA,"quartimin",500,100,5,0.5,2,0.1,1,NA,NA
"EFA (quartimax)",0.172076569680598,0.588849418334277,0.2275,0,0.423558290695163,NA,"quartimax",500,100,5,0.5,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,5,0.5,2,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,5,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,5,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,5,0.5,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.5,2,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.767914516201709,30.2959612739159,0.40625,0.3,-0.402228976949118,NA,NA,500,200,5,0.5,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0950229910097782,30.295062220978,0.375,0,-0.404414808231203,1e-17,NA,500,200,5,0.5,2,0.1,1,NA,NA
"EFA (varimax)",0.173343296427504,0.986398790055489,0.23625,0,0.386047048803764,NA,"varimax",500,200,5,0.5,2,0.1,1,NA,NA
"EFA (oblimin)",0.173343296427504,0.932960791891688,0.1925,0,0.389881854158105,NA,"oblimin",500,200,5,0.5,2,0.1,1,NA,NA
"EFA (quartimin)",0.173343296427504,0.932960791891688,0.1925,0,0.389881854158105,NA,"quartimin",500,200,5,0.5,2,0.1,1,NA,NA
"EFA (quartimax)",0.173343296427505,0.986398790055489,0.245,0,0.394372403361447,NA,"quartimax",500,200,5,0.5,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,5,0.5,2,0.1,1,0.1,NA
"PCA",1.14258004743057,4.66691878655253,0.672727272727273,0.35,-0.230653405843149,NA,NA,100,50,3,0.8,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0842599532888561,4.66683625945406,0.636363636363636,0,-0.336040902271811,1e-17,NA,100,50,3,0.8,2,0.1,1,NA,NA
"EFA (varimax)",0.111095433402497,1.06393325691447,0.572727272727273,0,0.308450257007882,NA,"varimax",100,50,3,0.8,2,0.1,1,NA,NA
"EFA (oblimin)",0.111095433402497,1.03736879622956,0.454545454545455,0,0.310819651728751,NA,"oblimin",100,50,3,0.8,2,0.1,1,NA,NA
"EFA (quartimin)",0.111095433402497,1.03736879622956,0.454545454545455,0,0.310819651728751,NA,"quartimin",100,50,3,0.8,2,0.1,1,NA,NA
"EFA (quartimax)",0.111095433402497,1.06393325691447,0.463636363636364,0,0.302511914312977,NA,"quartimax",100,50,3,0.8,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,3,0.8,2,0.1,1,0.1,NA
"PCA",1.0481928420313,4.63486920318472,0.609090909090909,0.225,-0.296048756747608,NA,NA,500,50,3,0.8,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0916423994055887,4.63478154250602,0.727272727272727,0,-0.329673901662464,1e-17,NA,500,50,3,0.8,2,0.1,1,NA,NA
"EFA (varimax)",0.115608703350499,0.354889211143208,0.372727272727273,0,0.321577579747554,NA,"varimax",500,50,3,0.8,2,0.1,1,NA,NA
"EFA (oblimin)",0.1156087033505,0.356959778262331,0.3,0,0.35369159552988,NA,"oblimin",500,50,3,0.8,2,0.1,1,NA,NA
"EFA (quartimin)",0.1156087033505,0.356959778262331,0.3,0,0.35369159552988,NA,"quartimin",500,50,3,0.8,2,0.1,1,NA,NA
"EFA (quartimax)",0.1156087033505,0.35488921114321,0.290909090909091,0,0.3525013785015,NA,"quartimax",500,50,3,0.8,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,3,0.8,2,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,3,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,3,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,3,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.8,2,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",1.39173889919349,9.3124798432131,0.627272727272727,0.325,0.315744076417014,NA,NA,500,100,3,0.8,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.094036574859816,9.31230690955656,0.572727272727273,0,0.305653595721194,1e-17,NA,500,100,3,0.8,2,0.1,1,NA,NA
"EFA (varimax)",0.121802107823456,0.723961998665892,0.431818181818182,0,0.308556118193664,NA,"varimax",500,100,3,0.8,2,0.1,1,NA,NA
"EFA (oblimin)",0.121802107823456,0.723566105689223,0.286363636363636,0,0.298128877500236,NA,"oblimin",500,100,3,0.8,2,0.1,1,NA,NA
"EFA (quartimin)",0.121802107823456,0.723566105689223,0.286363636363636,0,0.298128877500236,NA,"quartimin",500,100,3,0.8,2,0.1,1,NA,NA
"EFA (quartimax)",0.121802107823456,0.723961998665889,0.286363636363636,0,0.297412675875318,NA,"quartimax",500,100,3,0.8,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,3,0.8,2,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,3,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,3,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,3,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.8,2,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.727311028040026,18.7436617054312,0.431818181818182,0.35,-0.358834527854047,NA,NA,500,200,3,0.8,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0952242959916004,18.7433139449901,0.443181818181818,0,-0.31429540476852,1e-17,NA,500,200,3,0.8,2,0.1,1,NA,NA
"EFA (varimax)",0.117171186869766,1.2375314292663,0.377272727272727,0,0.350247487707771,NA,"varimax",500,200,3,0.8,2,0.1,1,NA,NA
"EFA (oblimin)",0.117171186869766,1.23760410387013,0.215909090909091,0,0.360135855041724,NA,"oblimin",500,200,3,0.8,2,0.1,1,NA,NA
"EFA (quartimin)",0.117171186869766,1.23760410387013,0.215909090909091,0,0.360135855041724,NA,"quartimin",500,200,3,0.8,2,0.1,1,NA,NA
"EFA (quartimax)",0.117171186869766,1.2375314292663,0.218181818181818,0,0.359346982424858,NA,"quartimax",500,200,3,0.8,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,3,0.8,2,0.1,1,0.1,NA
"PCA",1.57705930852128,4.96840487153818,0.671428571428571,0.45,0.224394370886855,NA,NA,100,50,5,0.8,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0743259537199036,4.96835509282459,0.671428571428571,0,0.261137737461441,1e-17,NA,100,50,5,0.8,2,0.1,1,NA,NA
"EFA (varimax)",0.09924249855579,1.42856659227757,0.6,0,0.165745219353776,NA,"varimax",100,50,5,0.8,2,0.1,1,NA,NA
"EFA (oblimin)",0.0992424985557901,1.47956511677745,0.395238095238095,0,0.22087653951818,NA,"oblimin",100,50,5,0.8,2,0.1,1,NA,NA
"EFA (quartimin)",0.0992424985557901,1.47956511677745,0.395238095238095,0,0.22087653951818,NA,"quartimin",100,50,5,0.8,2,0.1,1,NA,NA
"EFA (quartimax)",0.0992424985557901,1.42856659227757,0.423809523809524,0,0.241279278827718,NA,"quartimax",100,50,5,0.8,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,5,0.8,2,0.1,1,0.1,NA
"PCA",1.63556613917029,4.82642647077725,0.685714285714286,0.3,-0.233377406744164,NA,NA,500,50,5,0.8,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0873303692418692,4.82638003748567,0.666666666666667,0,-0.188864602517598,1e-17,NA,500,50,5,0.8,2,0.1,1,NA,NA
"EFA (varimax)",0.108805854375751,0.541562001910645,0.361904761904762,0,0.206078386130637,NA,"varimax",500,50,5,0.8,2,0.1,1,NA,NA
"EFA (oblimin)",0.108805854375751,0.546893687072917,0.314285714285714,0,0.185404189064426,NA,"oblimin",500,50,5,0.8,2,0.1,1,NA,NA
"EFA (quartimin)",0.108805854375751,0.546893687072917,0.314285714285714,0,0.185404189064426,NA,"quartimin",500,50,5,0.8,2,0.1,1,NA,NA
"EFA (quartimax)",0.108805854375751,0.541562001910648,0.319047619047619,0,0.183162536418696,NA,"quartimax",500,50,5,0.8,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,5,0.8,2,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,5,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,5,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,5,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.8,2,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",1.48640109293558,10.0432014746534,0.552380952380952,0.4875,-0.19058270458954,NA,NA,500,100,5,0.8,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0911297063577518,10.0431031423276,0.578571428571429,0,-0.209746201253624,1e-17,NA,500,100,5,0.8,2,0.1,1,NA,NA
"EFA (varimax)",0.104448373841399,0.941932257186689,0.226190476190476,0,0.192453553413466,NA,"varimax",500,100,5,0.8,2,0.1,1,NA,NA
"EFA (oblimin)",0.104448373841399,0.940343953222488,0.221428571428571,0,0.21294671789721,NA,"oblimin",500,100,5,0.8,2,0.1,1,NA,NA
"EFA (quartimin)",0.104448373841399,0.940343953222488,0.221428571428571,0,0.21294671789721,NA,"quartimin",500,100,5,0.8,2,0.1,1,NA,NA
"EFA (quartimax)",0.104448373841399,0.941932257186686,0.221428571428571,0,0.214897921097079,NA,"quartimax",500,100,5,0.8,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,5,0.8,2,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,5,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,5,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,5,0.8,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.8,2,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",1.61367393845277,20.2219235758087,0.447619047619048,0.5375,-0.184487514441262,NA,NA,500,200,5,0.8,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0938987926921638,20.2217283785264,0.438095238095238,0,-0.199788077858152,1e-17,NA,500,200,5,0.8,2,0.1,1,NA,NA
"EFA (varimax)",0.108537903855732,1.67208030335487,0.223809523809524,0,0.206575813552213,NA,"varimax",500,200,5,0.8,2,0.1,1,NA,NA
"EFA (oblimin)",0.108537903855732,1.67588362294859,0.211904761904762,0,0.214842180979533,NA,"oblimin",500,200,5,0.8,2,0.1,1,NA,NA
"EFA (quartimin)",0.108537903855732,1.67588362294859,0.211904761904762,0,0.214842180979533,NA,"quartimin",500,200,5,0.8,2,0.1,1,NA,NA
"EFA (quartimax)",0.108537903855732,1.67208030335488,0.210714285714286,0,0.214739494432236,NA,"quartimax",500,200,5,0.8,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,5,0.8,2,0.1,1,0.1,NA
"PCA",1.72440935748643,2.07201389364317,0.7,0.5,-0.174664791951427,NA,NA,100,50,3,0.2,0,1,1,NA,NA
"Sparse PCA (Fixed)",0.920567676421629,2.0719428917751,0.875,0.254545454545455,-0.253029466683265,1e-17,NA,100,50,3,0.2,0,1,1,NA,NA
"EFA (varimax)",0.962140073372794,1.58808680592932,0.875,0.172727272727273,0.256066574620962,NA,"varimax",100,50,3,0.2,0,1,1,NA,NA
"EFA (oblimin)",0.962140073372794,1.83610003787609,0.775,0.181818181818182,0.266835619384264,NA,"oblimin",100,50,3,0.2,0,1,1,NA,NA
"EFA (quartimin)",0.962140073372794,1.83610003787609,0.775,0.181818181818182,0.266835619384264,NA,"quartimin",100,50,3,0.2,0,1,1,NA,NA
"EFA (quartimax)",0.962140073372794,1.58808680592932,0.85,0.172727272727273,0.268102619053127,NA,"quartimax",100,50,3,0.2,0,1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,3,0.2,0,1,1,0.1,NA
"PCA",1.86210168758691,1.73240479284295,0.675,0.472727272727273,-0.0425248369751821,NA,NA,500,50,3,0.2,0,1,1,NA,NA
"Sparse PCA (Fixed)",0.917665257347471,1.73227801808189,0.85,0.218181818181818,-0.218502279695098,1e-17,NA,500,50,3,0.2,0,1,1,NA,NA
"EFA (varimax)",0.958791946182943,0.548163171226225,0.6,0.0454545454545455,0.839554726574092,NA,"varimax",500,50,3,0.2,0,1,1,NA,NA
"EFA (oblimin)",0.958791946182943,0.943012145388842,0.55,0.145454545454545,0.804436821617333,NA,"oblimin",500,50,3,0.2,0,1,1,NA,NA
"EFA (quartimin)",0.958791946182943,0.943012145388842,0.55,0.145454545454545,0.804436821617333,NA,"quartimin",500,50,3,0.2,0,1,1,NA,NA
"EFA (quartimax)",0.958791946182943,0.548163171226232,0.7,0.163636363636364,0.248589466277158,NA,"quartimax",500,50,3,0.2,0,1,1,NA,NA
